x,y,c
22,12,30,-1
9,22,35,-1
11,17,15,-1
14,19,22,-1
25,33,8,-1
23,27,13,-1
10,32,31,-1
3,4,33,-1
23,12,2,-1
16,1,4,-1
18,23,16,-1
28,33,18,-1
7,24,35,-1
2,2,35,-1
24,7,12,-1
33,11,3,-1
26,21,15,-1
1,5,19,-1
15,8,31,-1
17,4,32,-1
21,22,20,-1
18,30,33,-1
0,17,21,-1
16,19,4,-1
31,24,11,-1
7,21,22,-1
10,27,24,-1
25,29,29,-1
24,8,1,-1
19,5,5,-1
31,7,8,-1
31,25,18,-1
28,5,0,-1
14,21,19,-1
34,32,7,-1
9,19,8,-1
12,9,16,-1
0,34,25,-1
9,2,13,-1
10,21,18,-1
31,33,5,-1
19,28,30,-1
2,21,0,-1
18,15,1,-1
17,13,14,-1
5,2,33,-1
29,14,7,-1
9,30,21,-1
14,3,24,-1
27,29,25,-1
26,5,22,-1
11,24,15,-1
6,6,16,-1
6,24,31,-1
23,22,24,-1
1,27,26,-1
35,20,21,-1
22,10,15,-1
7,4,35,-1
31,12,28,-1
1,18,33,-1
23,29,2,-1
18,35,8,-1
34,21,13,-1
9,9,35,-1
33,26,26,-1
4,5,26,-1
25,27,16,-1
20,35,21,-1
19,10,33,-1
28,11,15,-1
25,15,8,-1
27,33,24,-1
16,32,9,-1
29,5,34,-1
28,3,5,-1
34,23,10,-1
4,12,2,-1
21,12,17,-1
6,12,27,-1
3,4,19,-1
34,9,34,-1
22,17,31,-1
10,33,7,-1
0,6,13,-1
14,14,32,-1
19,12,19,-1
30,16,11,-1
12,17,23,-1
9,23,35,-1
16,6,19,-1
35,20,29,-1
13,7,10,-1
9,17,23,-1
32,33,29,-1
9,12,7,-1
5,31,35,-1
4,5,31,-1
15,33,13,-1
19,6,0,-1
34,23,23,-1
18,2,7,-1
11,16,14,-1
1,5,12,-1
24,1,9,-1
33,11,1,-1
20,32,13,-1
19,17,34,-1
14,32,32,-1
27,31,18,-1
8,30,5,-1
11,12,24,-1
18,3,4,-1
13,4,25,-1
5,8,26,-1
30,21,17,-1
32,5,30,-1
9,24,11,-1
7,18,23,-1
19,26,19,-1
2,14,13,-1
23,25,5,-1
11,23,8,-1
31,16,28,-1
20,21,16,-1
27,16,1,-1
8,12,6,-1
18,1,10,-1
29,24,28,-1
17,8,34,-1
16,10,12,-1
29,13,1,-1
14,5,25,-1
2,0,5,-1
30,1,7,-1
26,28,23,-1
7,16,15,-1
29,35,32,-1
3,8,20,-1
11,5,28,-1
10,21,18,-1
22,14,32,-1
4,8,17,-1
29,10,17,-1
14,20,34,-1
21,10,6,-1
24,17,23,-1
19,26,2,-1
15,29,10,-1
0,21,16,-1
28,31,17,-1
27,33,12,-1
3,1,20,-1
20,10,31,-1
17,5,15,-1
16,26,6,-1
22,31,3,-1
25,14,30,-1
7,30,3,-1
18,10,24,-1
14,18,35,-1
31,9,13,-1
7,12,30,-1
8,12,5,-1
3,30,10,-1
34,26,16,-1
4,28,11,-1
24,18,6,-1
18,5,16,-1
1,3,26,-1
26,17,24,-1
5,29,34,-1
18,16,26,-1
13,4,3,-1
34,7,13,-1
8,22,3,-1
4,6,31,-1
16,30,29,-1
22,28,35,-1
18,30,18,-1
8,0,0,-1
32,5,9,-1
10,4,5,-1
1,33,10,-1
20,11,33,-1
33,35,19,-1
16,3,6,-1
27,19,0,-1
1,21,9,-1
16,19,3,-1
34,27,19,-1
14,4,4,-1
3,30,24,-1
9,11,21,-1
35,11,12,-1
12,8,11,-1
12,4,15,-1
18,32,14,-1
34,33,16,-1
7,29,35,-1
10,27,7,-1
9,6,11,-1
14,9,21,-1
2,34,33,-1
4,33,8,-1
16,10,33,-1
28,22,1,-1
7,20,13,-1
21,18,26,-1
1,26,19,-1
17,16,11,-1
24,26,33,-1
15,4,6,-1
0,22,5,-1
13,26,18,-1
22,7,8,-1
35,35,10,-1
16,22,30,-1
30,7,29,-1
20,25,19,-1
20,6,15,-1
11,30,5,-1
8,9,25,-1
14,25,28,-1
35,3,18,-1
34,5,5,-1
22,4,4,-1
33,20,6,-1
7,30,30,-1
0,31,19,-1
35,15,5,-1
15,26,15,-1
0,34,4,-1
6,28,29,-1
34,8,12,-1
16,22,17,-1
22,8,21,-1
6,21,22,-1
29,29,16,-1
23,29,11,-1
22,9,6,-1
27,24,32,-1
6,24,10,-1
26,30,19,-1
35,28,27,-1
12,25,13,-1
29,27,1,-1
31,13,23,-1
33,6,16,-1
13,29,25,-1
5,15,34,-1
27,22,22,-1
4,8,27,-1
30,34,21,-1
13,34,30,-1
20,10,19,-1
13,19,26,-1
15,30,3,-1
2,27,10,-1
34,21,19,-1
23,6,35,-1
2,33,21,-1
4,1,30,-1
31,32,8,-1
33,25,6,-1
27,10,32,-1
26,23,16,-1
16,2,26,-1
35,20,18,-1
25,18,3,-1
9,22,9,-1
24,24,22,-1
25,8,4,-1
35,20,16,-1
8,17,5,-1
30,24,31,-1
27,30,19,-1
23,26,1,-1
13,25,22,-1
31,31,20,-1
14,4,6,-1
3,28,10,-1
26,33,19,-1
10,33,19,-1
26,5,0,-1
11,35,4,-1
7,6,14,-1
6,29,4,-1
7,23,9,-1
9,18,4,-1
30,13,24,-1
16,16,32,-1
27,22,30,-1
26,32,27,-1
9,2,12,-1
25,30,27,-1
9,17,34,-1
23,23,7,-1
7,10,30,-1
16,0,29,-1
1,30,6,-1
25,26,2,-1
2,17,25,-1
32,23,1,-1
3,12,20,-1
31,17,30,-1
22,26,11,-1
20,29,14,-1
28,0,24,-1
22,17,4,-1
15,34,34,-1
1,3,25,-1
4,5,22,-1
9,17,26,-1
10,20,18,-1
10,15,0,-1
4,18,6,-1
31,2,0,-1
9,10,0,-1
14,13,33,-1
18,8,31,-1
33,10,15,-1
2,30,20,-1
4,3,2,-1
30,29,2,-1
13,4,34,-1
29,24,16,-1
35,20,18,-1
15,29,9,-1
16,23,22,-1
29,6,10,-1
5,19,20,-1
20,21,14,-1
4,5,33,-1
22,0,27,-1
25,29,11,-1
23,2,35,-1
3,1,19,-1
1,33,29,-1
26,13,16,-1
12,22,2,-1
23,27,21,-1
23,27,22,-1
18,12,28,-1
15,34,8,-1
22,3,17,-1
33,26,19,-1
33,9,0,-1
32,27,33,-1
25,17,26,-1
22,10,13,-1
4,13,20,-1
6,0,12,-1
28,34,24,-1
0,30,2,-1
8,16,6,-1
25,14,12,-1
24,11,2,-1
25,23,29,-1
22,29,10,-1
29,15,0,-1
6,19,13,-1
6,5,14,-1
18,34,28,-1
22,34,22,-1
5,23,3,-1
27,28,17,-1
3,17,8,-1
21,6,31,-1
14,8,4,-1
5,17,19,-1
5,23,19,-1
35,10,24,-1
29,8,2,-1
21,31,17,-1
8,16,4,-1
27,7,32,-1
8,26,29,-1
32,12,35,-1
7,6,24,-1
12,27,5,-1
11,13,9,-1
10,12,19,-1
35,5,27,-1
17,26,2,-1
34,14,34,-1
18,5,5,-1
15,29,12,-1
8,5,4,-1
24,13,10,-1
28,5,18,-1
13,16,31,-1
2,27,23,-1
1,6,28,-1
9,3,34,-1
27,2,13,-1
26,20,34,-1
11,15,8,-1
3,4,13,-1
7,8,6,-1
34,16,11,-1
16,29,8,-1
27,12,15,-1
14,13,21,-1
22,22,24,-1
20,14,6,-1
13,20,27,-1
12,31,22,-1
20,35,26,-1
13,22,14,-1
20,20,30,-1
31,16,4,-1
3,23,16,-1
18,1,9,-1
19,23,32,-1
24,8,26,-1
30,1,26,-1
1,13,1,-1
4,13,16,-1
10,27,3,-1
25,27,3,-1
19,22,0,-1
23,6,23,-1
19,4,25,-1
29,24,28,-1
5,28,16,-1
11,2,18,-1
1,20,11,-1
18,24,5,-1
35,34,12,-1
18,23,3,-1
21,23,25,-1
1,26,11,-1
25,26,16,-1
30,19,20,-1
22,4,12,-1
19,15,30,-1
1,32,14,-1
28,14,18,-1
33,29,17,-1
25,11,20,-1
28,13,23,-1
34,14,30,-1
9,19,20,-1
25,13,3,-1
25,16,7,-1
1,35,2,-1
12,16,14,-1
26,24,8,-1
9,22,2,-1
6,11,29,-1
6,20,22,-1
10,18,17,-1
4,27,0,-1
24,33,30,-1
7,22,26,-1
30,4,25,-1
32,16,21,-1
10,22,9,-1
18,11,11,-1
0,33,3,-1
30,20,23,-1
16,30,21,-1
33,34,12,-1
14,22,25,-1
8,9,28,-1
34,3,12,-1
3,35,8,-1
4,25,30,-1
13,23,22,-1
5,4,35,-1
24,34,19,-1
11,30,13,-1
32,8,27,-1
24,22,29,-1
30,10,2,-1
22,8,5,-1
34,27,20,-1
22,31,25,-1
32,24,13,-1
18,9,17,-1
34,33,31,-1
17,8,5,-1
11,20,13,-1
18,25,35,-1
12,35,25,-1
30,21,33,-1
16,35,24,-1
0,21,35,-1
26,17,24,-1
19,16,33,-1
16,14,31,-1
27,11,19,-1
32,22,20,-1
26,21,25,-1
5,33,24,-1
31,7,25,-1
28,23,4,-1
33,4,5,-1
12,10,2,-1
0,9,34,-1
14,25,12,-1
25,32,4,-1
24,8,6,-1
24,34,27,-1
13,4,4,-1
17,35,12,-1
6,7,15,-1
10,20,19,-1
31,33,29,-1
34,13,2,-1
32,7,7,-1
25,32,19,-1
29,1,28,-1
35,25,26,-1
7,19,10,-1
11,0,25,-1
23,7,33,-1
3,33,33,-1
2,9,30,-1
32,7,24,-1
14,19,31,-1
22,8,8,-1
5,17,9,-1
13,33,14,-1
20,4,33,-1
30,15,34,-1
20,19,21,-1
33,2,34,-1
10,4,7,-1
21,16,30,-1
9,31,30,-1
20,33,2,-1
28,18,0,-1
17,32,33,-1
12,32,17,-1
25,26,12,-1
3,26,31,-1
4,3,13,-1
3,14,34,-1
26,35,30,-1
1,24,5,-1
31,8,2,-1
13,17,1,-1
29,14,13,-1
26,26,9,-1
7,16,35,-1
0,35,6,-1
31,4,9,-1
25,7,3,-1
23,13,2,-1
33,30,26,-1
3,5,15,-1
5,19,32,-1
22,12,26,-1
35,19,33,-1
8,6,29,-1
24,6,28,-1
10,18,32,-1
35,7,19,-1
3,10,13,-1
21,7,7,-1
28,10,13,-1
7,32,12,-1
19,18,4,-1
9,34,23,-1
6,22,10,-1
15,26,32,-1
8,0,14,-1
4,0,1,-1
24,3,27,-1
1,4,35,-1
24,32,25,-1
17,3,1,-1
29,2,0,-1
34,12,34,-1
1,34,20,-1
27,14,11,-1
24,2,11,-1
18,6,27,-1
20,10,10,-1
27,27,15,-1
6,16,11,-1
32,13,31,-1
13,7,33,-1
13,21,25,-1
11,2,24,-1
32,10,18,-1
23,34,20,-1
14,32,6,-1
6,32,17,-1
32,24,24,-1
11,30,4,-1
23,6,18,-1
18,20,5,-1
15,33,6,-1
21,25,24,-1
9,1,34,-1
7,24,12,-1
7,18,9,-1
13,4,5,-1
10,1,29,-1
35,12,4,-1
19,15,10,-1
17,33,10,-1
2,29,24,-1
8,14,13,-1
33,3,30,-1
31,26,34,-1
8,33,16,-1
33,26,21,-1
2,17,22,-1
12,16,14,-1
16,15,30,-1
6,33,7,-1
17,35,0,-1
21,24,30,-1
14,21,13,-1
8,32,19,-1
6,20,32,-1
2,17,23,-1
3,0,20,-1
25,12,0,-1
20,8,15,-1
14,14,28,-1
21,11,28,-1
2,32,32,-1
12,10,17,-1
26,34,29,-1
9,4,30,-1
6,23,11,-1
9,26,11,-1
29,32,3,-1
9,16,11,-1
4,30,26,-1
33,31,17,-1
5,33,14,-1
1,10,4,-1
34,16,3,-1
7,5,7,-1
1,27,10,-1
29,0,1,-1
4,9,13,-1
24,34,29,-1
35,3,3,-1
5,16,34,-1
3,21,12,-1
17,2,22,-1
21,0,18,-1
24,7,23,-1
12,25,15,-1
22,18,31,-1
3,2,21,-1
32,26,19,-1
25,6,2,-1
8,27,18,-1
23,30,19,-1
35,11,21,-1
1,13,1,-1
35,17,25,-1
22,29,14,-1
17,32,32,-1
29,15,14,-1
14,12,5,-1
13,17,27,-1
32,26,18,-1
14,29,29,-1
14,8,20,-1
15,25,33,-1
17,24,15,-1
22,26,24,-1
16,8,0,-1
28,1,16,-1
6,31,28,-1
27,8,25,-1
18,4,31,-1
17,35,24,-1
10,29,32,-1
30,8,1,-1
8,5,25,-1
3,27,16,-1
7,7,4,-1
8,35,5,-1
24,22,16,-1
32,13,4,-1
21,32,25,-1
17,13,24,-1
21,3,17,-1
34,13,5,-1
35,1,11,-1
5,4,2,-1
21,28,26,-1
5,0,5,-1
26,4,27,-1
6,16,5,-1
10,17,17,-1
35,34,10,-1
3,0,13,-1
0,34,6,-1
22,13,8,-1
33,18,28,-1
35,19,20,-1
5,24,20,-1
11,14,4,-1
18,20,20,-1
23,11,2,-1
20,26,16,-1
30,10,32,-1
23,26,30,-1
30,12,8,-1
2,9,6,-1
10,25,26,-1
31,10,14,-1
31,21,9,-1
0,4,29,-1
0,7,20,-1
18,28,27,-1
35,2,1,-1
31,6,27,-1
6,0,20,-1
30,18,9,-1
0,28,34,-1
6,3,25,-1
1,35,10,-1
10,35,30,-1
19,15,18,-1
4,34,26,-1
31,13,28,-1
12,24,14,-1
19,30,14,-1
3,4,12,-1
13,21,21,-1
27,27,24,-1
16,28,23,-1
7,2,2,-1
17,2,18,-1
35,6,16,-1
5,17,9,-1
14,29,33,-1
28,12,8,-1
7,32,12,-1
35,25,13,-1
20,32,21,-1
9,29,13,-1
12,16,32,-1
15,33,34,-1
13,13,20,-1
29,18,1,-1
18,32,10,-1
15,25,2,-1
23,12,14,-1
16,11,3,-1
29,12,16,-1
14,1,9,-1
8,13,25,-1
20,8,2,-1
34,21,15,-1
18,30,34,-1
35,12,10,-1
25,28,35,-1
7,31,11,-1
22,27,3,-1
5,21,15,-1
21,15,16,-1
30,3,9,-1
35,23,18,-1
2,1,3,-1
17,35,34,-1
31,14,26,-1
6,3,34,-1
21,11,30,-1
13,33,21,-1
16,2,22,-1
11,4,18,-1
7,34,21,-1
16,34,25,-1
34,16,26,-1
18,33,26,-1
32,9,4,-1
22,31,24,-1
21,16,15,-1
31,29,12,-1
32,25,30,-1
19,16,14,-1
1,23,13,-1
2,20,27,-1
27,18,23,-1
34,16,0,-1
24,12,9,-1
8,15,4,-1
32,16,1,-1
11,11,30,-1
3,23,0,-1
14,6,16,-1
28,23,20,-1
21,6,4,-1
28,33,2,-1
15,31,19,-1
16,35,11,-1
25,8,26,-1
10,20,6,-1
11,12,33,-1
21,31,21,-1
21,9,7,-1
18,18,11,-1
2,19,17,-1
22,12,30,-1
24,27,6,-1
7,7,5,-1
35,13,29,-1
25,23,30,-1
12,34,6,-1
25,35,17,-1
10,21,27,-1
34,19,25,-1
25,1,8,-1
6,23,20,-1
16,11,28,-1
22,35,15,-1
8,14,28,-1
17,3,31,-1
11,31,9,-1
33,21,9,-1
15,11,10,-1
22,25,29,-1
27,14,30,-1
35,0,33,-1
0,17,24,-1
28,19,23,-1
7,27,17,-1
16,25,21,-1
11,0,32,-1
21,34,17,-1
30,29,9,-1
4,15,34,-1
13,6,29,-1
7,21,29,-1
4,1,26,-1
28,9,10,-1
32,33,17,-1
29,13,6,-1
14,24,23,-1
27,25,1,-1
24,35,30,-1
33,3,25,-1
12,16,11,-1
5,3,32,-1
14,23,34,-1
5,32,7,-1
15,8,4,-1
12,1,33,-1
19,32,2,-1
22,23,27,-1
23,27,27,-1
17,5,10,-1
6,17,7,-1
33,2,26,-1
29,16,30,-1
7,21,26,-1
31,16,14,-1
15,29,15,-1
29,28,27,-1
31,14,30,-1
2,1,22,-1
9,34,27,-1
20,20,24,-1
7,17,26,-1
33,26,6,-1
27,14,28,-1
33,25,24,-1
11,4,17,-1
7,13,25,-1
14,8,19,-1
9,11,20,-1
11,20,34,-1
2,20,18,-1
6,7,15,-1
32,5,22,-1
2,12,0,-1
10,26,25,-1
35,17,9,-1
32,24,23,-1
2,3,11,-1
21,28,22,-1
22,3,23,-1
20,21,23,-1
19,27,31,-1
14,3,16,-1
0,5,28,-1
16,32,34,-1
21,11,16,-1
11,23,4,-1
34,25,23,-1
25,27,15,-1
28,13,34,-1
31,13,19,-1
18,32,26,-1
13,11,29,-1
29,27,15,-1
2,8,27,-1
16,29,2,-1
32,20,5,-1
1,34,11,-1
4,24,2,-1
0,16,15,-1
34,11,28,-1
34,9,5,-1
24,23,32,-1
34,32,23,-1
13,14,11,-1
4,31,21,-1
22,27,5,-1
7,8,4,-1
18,29,28,-1
20,29,24,-1
15,7,15,-1
24,5,24,-1
29,10,11,-1
25,8,24,-1
28,1,18,-1
20,21,13,-1
5,23,21,-1
26,30,9,-1
30,29,2,-1
2,29,31,-1
26,25,19,-1
21,13,24,-1
10,6,14,-1
1,11,22,-1
25,19,3,-1
8,3,24,-1
1,8,11,-1
22,35,22,-1
12,9,31,-1
14,12,24,-1
26,18,29,-1
9,4,6,-1
13,14,28,-1
28,15,3,-1
14,21,23,-1
34,9,6,-1
22,10,15,-1
14,13,30,-1
16,25,3,-1
11,19,31,-1
15,9,30,-1
9,34,34,-1
31,12,28,-1
24,4,23,-1
27,34,8,-1
30,32,17,-1
1,35,8,-1
32,13,1,-1
6,9,26,-1
25,20,25,-1
21,15,35,-1
15,4,13,-1
29,0,25,-1
21,24,29,-1
8,31,8,-1
17,6,4,-1
14,23,19,-1
2,19,32,-1
3,5,21,-1
9,30,21,-1
35,15,1,-1
14,10,21,-1
27,3,21,-1
33,4,25,-1
6,13,1,-1
14,10,7,-1
35,4,30,-1
18,7,29,-1
31,10,34,-1
16,0,28,-1
2,35,24,-1
19,29,14,-1
4,20,34,-1
6,33,2,-1
31,4,31,-1
32,18,21,-1
19,33,26,-1
13,16,33,-1
22,11,23,-1
20,7,23,-1
29,25,2,-1
33,8,31,-1
11,29,32,-1
25,35,29,-1
28,10,33,-1
3,23,32,-1
25,6,29,-1
15,20,25,-1
28,6,0,-1
15,7,24,-1
19,16,13,-1
21,13,2,-1
33,4,31,-1
29,30,30,-1
2,22,4,-1
16,25,27,-1
12,14,14,-1
21,9,34,-1
11,1,20,-1
27,17,7,-1
15,16,23,-1
9,1,0,-1
11,34,21,-1
6,7,15,-1
0,26,1,-1
20,6,6,-1
28,34,1,-1
6,19,10,-1
20,10,12,-1
20,2,9,-1
28,33,25,-1
31,6,6,-1
12,33,21,-1
33,3,8,-1
12,19,34,-1
29,20,20,-1
15,12,18,-1
16,34,18,-1
7,18,8,-1
35,2,10,-1
24,10,24,-1
13,22,30,-1
35,34,28,-1
20,31,11,-1
29,23,31,-1
7,16,15,-1
28,31,7,-1
26,28,5,-1
8,15,23,-1
17,14,5,-1
7,2,32,-1
31,31,18,-1
6,30,16,-1
14,15,27,-1
25,24,14,-1
0,31,10,-1
31,23,21,-1
2,14,13,-1
7,2,28,-1
10,35,22,-1
32,23,24,-1
28,18,19,-1
26,4,30,-1
22,18,25,-1
13,8,13,-1
7,24,24,-1
17,20,28,-1
18,22,22,-1
32,10,24,-1
4,0,4,-1
7,32,27,-1
31,4,25,-1
31,30,10,-1
25,16,28,-1
30,9,16,-1
23,16,5,-1
11,13,25,-1
3,32,27,-1
25,8,17,-1
30,28,18,-1
34,35,14,-1
5,11,35,-1
10,6,9,-1
20,11,26,-1
13,21,15,-1
9,8,32,-1
30,19,25,-1
35,3,21,-1
27,28,9,-1
8,2,2,-1
26,16,1,-1
21,21,12,-1
0,12,34,-1
9,32,25,-1
15,25,10,-1
31,15,18,-1
27,9,18,-1
16,9,21,-1
18,16,29,-1
27,24,32,-1
29,31,12,-1
11,32,14,-1
3,32,26,-1
18,5,2,-1
7,21,8,-1
34,16,3,-1
32,23,12,-1
14,19,1,-1
35,1,17,-1
29,9,6,-1
25,18,17,-1
17,29,13,-1
31,13,9,-1
1,31,30,-1
20,18,31,-1
8,16,27,-1
11,29,14,-1
3,7,14,-1
5,23,15,-1
22,16,4,-1
8,21,23,-1
5,18,32,-1
34,30,9,-1
23,31,20,-1
18,31,3,-1
13,19,35,-1
5,30,28,-1
35,14,16,-1
13,19,3,-1
9,21,19,-1
13,10,20,-1
16,15,2,-1
29,14,32,-1
18,1,8,-1
3,35,19,-1
22,29,3,-1
1,14,13,-1
30,29,27,-1
26,7,10,-1
29,32,12,-1
28,25,2,-1
28,6,17,-1
30,35,11,-1
7,17,29,-1
31,0,8,-1
30,22,1,-1
33,4,31,-1
27,34,25,-1
18,4,32,-1
9,33,8,-1
21,25,33,-1
23,17,19,-1
20,27,18,-1
12,14,16,-1
21,25,32,-1
29,20,35,-1
11,33,3,-1
6,24,17,-1
11,7,21,-1
23,32,18,-1
31,17,23,-1
29,20,4,-1
12,20,11,-1
11,32,6,-1
7,17,31,-1
3,27,31,-1
2,18,9,-1
5,24,13,-1
22,16,0,-1
7,3,32,-1
5,35,13,-1
28,8,13,-1
12,20,34,-1
24,11,10,-1
10,18,8,-1
21,22,35,-1
17,4,17,-1
6,10,21,-1
19,12,17,-1
20,0,21,-1
16,5,20,-1
10,34,28,-1
23,10,28,-1
1,14,4,-1
12,24,2,-1
0,10,4,-1
35,7,9,-1
32,13,35,-1
33,32,27,-1
15,32,27,-1
16,13,33,-1
16,3,11,-1
24,6,21,-1
16,8,16,-1
0,0,4,-1
19,0,30,-1
23,15,1,-1
12,27,30,-1
27,4,7,-1
19,35,3,-1
26,15,32,-1
3,31,35,-1
14,19,6,-1
0,16,14,-1
16,32,30,-1
0,15,10,-1
31,19,25,-1
12,11,32,-1
7,3,0,-1
30,2,0,-1
33,8,31,-1
30,12,27,-1
9,26,26,-1
15,26,22,-1
9,22,19,-1
3,23,14,-1
13,34,13,-1
18,10,25,-1
14,33,8,-1
31,27,10,-1
31,5,34,-1
6,15,10,-1
33,24,1,-1
4,4,7,-1
6,29,10,-1
5,33,33,-1
20,26,11,-1
33,25,21,-1
2,3,35,-1
10,34,26,-1
0,9,11,-1
35,16,26,-1
9,29,15,-1
26,13,35,-1
14,20,28,-1
24,25,5,-1
1,25,12,-1
12,3,1,-1
13,5,20,-1
12,16,35,-1
19,32,24,-1
30,31,4,-1
1,21,14,-1
16,27,27,-1
31,5,27,-1
3,29,17,-1
9,30,22,-1
1,22,25,-1
18,0,11,-1
2,28,7,-1
17,27,3,-1
6,2,15,-1
10,3,0,-1
4,35,27,-1
32,10,13,-1
3,13,6,-1
20,2,17,-1
23,3,19,-1
12,21,35,-1
23,4,28,-1
30,21,35,-1
14,7,1,-1
29,34,20,-1
29,2,35,-1
0,14,9,-1
13,18,23,-1
0,18,25,-1
33,5,29,-1
16,18,30,-1
16,21,14,-1
24,32,0,-1
23,26,23,-1
5,19,21,-1
5,28,24,-1
5,8,2,-1
14,2,20,-1
1,2,3,-1
7,15,8,-1
16,31,6,-1
10,27,8,-1
25,15,20,-1
5,19,10,-1
28,24,9,-1
14,9,1,-1
18,14,9,-1
20,29,27,-1
21,10,9,-1
4,17,24,-1
28,33,0,-1
35,24,27,-1
23,29,23,-1
23,14,22,-1
33,22,26,-1
22,16,35,-1
23,34,14,-1
12,35,23,-1
4,0,33,-1
13,4,31,-1
18,32,8,-1
18,11,12,-1
25,34,5,-1
28,21,35,-1
14,34,22,-1
4,0,18,-1
4,3,17,-1
34,16,32,-1
21,0,32,-1
34,29,0,-1
9,11,32,-1
18,9,8,-1
10,15,22,-1
32,7,24,-1
31,2,2,-1
33,6,3,-1
16,26,6,-1
33,4,2,-1
29,25,18,-1
5,4,12,-1
5,13,3,-1
17,11,29,-1
25,22,8,-1
28,18,31,-1
16,13,33,-1
34,27,4,-1
1,7,10,-1
24,4,15,-1
6,13,20,-1
25,34,4,-1
17,3,18,-1
20,20,9,-1
29,26,31,-1
1,34,13,-1
33,30,7,-1
30,28,34,-1
14,10,21,-1
5,34,5,-1
20,4,18,-1
20,9,32,-1
25,26,35,-1
23,11,35,-1
32,20,5,-1
8,22,3,-1
1,35,33,-1
8,9,26,-1
22,24,0,-1
7,9,14,-1
12,9,34,-1
10,29,8,-1
