x,y,c
107,71,3
57,11,4
66,108,0
132,0,3
94,136,0
146,143,0
46,77,1
84,77,1
48,75,1
11,15,2
18,39,2
41,115,0
63,41,1
42,49,1
53,101,0
96,9,4
22,0,4
20,86,2
108,0,3
86,52,1
136,79,3
44,31,1
3,126,0
109,52,3
48,118,0
67,64,1
4,106,0
28,67,2
147,68,3
115,48,3
19,60,2
57,39,1
58,76,1
125,16,3
76,59,1
66,61,1
138,108,3
91,142,0
84,47,1
41,132,0
12,106,0
46,17,4
61,72,1
84,56,1
141,48,3
104,9,3
106,8,3
46,14,4
84,20,4
28,7,4
77,94,0
67,65,1
51,7,4
54,133,0
52,95,0
113,64,3
50,6,4
81,109,0
78,13,4
14,68,2
59,118,0
75,15,4
127,121,0
27,58,2
140,53,3
66,66,1
147,133,0
129,45,3
138,32,3
28,39,1
125,139,0
101,24,3
145,32,3
134,72,3
43,146,0
139,102,3
114,63,3
115,88,3
32,142,0
146,19,3
44,59,1
83,38,4
41,62,1
84,26,4
92,110,0
65,67,1
98,16,3
89,92,0
46,72,1
11,89,2
68,150,0
40,29,1
61,5,4
117,91,3
145,110,3
110,37,3
19,42,2
73,58,1
102,4,3
85,44,1
114,148,0
109,59,3
11,47,2
149,55,3
118,8,3
144,33,3
7,32,2
60,66,1
35,24,1
6,27,2
134,114,0
62,0,4
4,136,0
57,106,0
140,142,0
148,102,3
137,106,3
8,147,0
1,7,4
51,117,0
15,45,2
150,20,3
75,59,1
87,110,0
83,91,0
135,64,3
53,47,1
65,57,1
32,122,0
10,19,2
111,8,3
121,95,3
112,130,0
91,111,0
135,143,0
77,148,0
35,74,2
17,110,0
131,102,3
67,61,1
41,49,1
126,94,3
96,38,3
149,126,3
7,8,4
144,116,3
14,114,0
60,127,0
91,1,4
85,73,1
142,12,3
70,26,4
84,86,0
134,65,3
37,48,1
126,76,3
97,99,0
19,41,2
137,17,3
14,142,0
24,7,4
107,38,3
120,15,3
14,58,2
14,98,2
132,5,3
110,49,3
29,41,1
135,10,3
106,20,3
56,82,1
96,0,4
28,114,0
41,15,4
129,56,3
4,2,4
61,112,0
41,30,1
127,53,3
89,139,0
0,70,2
144,108,3
119,20,3
150,102,3
30,103,0
122,84,3
32,65,2
84,61,1
28,124,0
76,7,4
27,80,2
7,88,2
39,46,1
119,13,3
100,57,3
1,98,2
125,143,0
54,91,0
12,51,2
42,40,1
3,11,2
124,36,3
77,58,1
97,103,0
31,20,4
108,58,3
98,116,0
144,138,0
11,112,0
149,109,3
16,0,4
55,139,0
141,109,3
80,3,4
9,120,0
43,12,4
130,15,3
46,54,1
71,143,0
6,102,0
12,115,0
7,109,0
78,0,4
96,87,0
111,92,3
46,127,0
90,101,0
116,81,3
57,43,1
84,64,1
10,125,0
76,140,0
138,123,0
43,58,1
113,48,3
9,124,0
12,14,4
82,90,0
15,25,2
26,126,0
117,70,3
100,57,3
18,63,2
138,73,3
104,69,3
137,115,3
41,63,1
102,29,3
33,144,0
87,146,0
41,95,0
117,51,3
109,48,3
139,122,0
73,12,4
95,40,3
81,45,1
95,99,0
108,82,3
22,62,2
149,6,3
24,39,2
69,124,0
68,100,0
117,5,3
94,5,4
100,60,3
56,56,1
109,42,3
28,29,1
55,123,0
69,136,0
17,13,4
82,124,0
93,102,0
33,91,2
109,55,3
131,25,3
28,46,1
124,146,0
51,67,1
149,149,0
125,53,3
55,81,1
95,81,1
111,148,0
53,29,4
131,69,3
41,63,1
40,132,0
12,73,2
73,119,0
128,51,3
145,5,3
97,116,0
149,147,0
32,148,0
143,4,3
50,45,1
86,143,0
126,46,3
141,27,3
73,121,0
96,112,0
31,136,0
94,42,3
56,14,4
10,31,2
65,2,4
36,9,4
118,33,3
3,148,0
28,147,0
2,76,2
41,88,2
68,15,4
134,56,3
42,54,1
25,138,0
16,56,2
121,110,0
96,24,3
124,107,0
55,36,1
107,91,0
43,75,1
122,47,3
72,150,0
41,72,1
75,80,1
9,142,0
95,141,0
47,137,0
45,72,1
122,59,3
127,90,3
18,72,2
114,140,0
26,18,4
23,134,0
108,64,3
56,79,1
111,128,0
77,150,0
48,150,0
80,57,1
141,24,3
46,36,1
9,89,2
108,131,0
148,84,3
69,15,4
4,32,2
2,30,2
51,25,4
13,6,4
87,67,1
85,48,1
43,9,4
45,91,0
9,125,0
146,148,0
148,41,3
33,6,4
130,140,0
135,127,0
71,53,1
140,75,3
84,142,0
106,133,0
14,117,0
139,102,3
34,71,2
148,77,3
81,40,1
15,88,2
15,10,4
85,10,4
52,117,0
16,29,2
106,149,0
6,26,2
50,144,0
100,134,0
134,55,3
114,146,0
19,102,0
95,51,3
22,90,2
126,103,3
131,141,0
38,146,0
150,124,3
5,51,2
88,19,4
78,43,1
15,82,2
67,65,1
76,16,4
46,59,1
69,9,4
52,87,1
109,148,0
138,132,0
87,112,0
82,67,1
100,121,0
60,99,0
92,65,1
148,29,3
82,76,1
70,98,0
7,135,0
10,81,2
1,55,2
138,68,3
62,40,1
4,21,2
37,141,0
0,122,0
102,82,3
39,49,1
50,99,0
149,142,0
12,144,0
18,94,2
67,86,0
41,75,1
71,50,1
3,70,2
105,142,0
138,16,3
31,143,0
37,66,1
133,37,3
37,82,2
118,74,3
131,17,3
23,127,0
7,33,2
121,23,3
127,35,3
110,16,3
110,28,3
66,112,0
98,18,3
103,83,3
34,132,0
75,70,1
45,55,1
105,82,3
137,70,3
4,116,0
86,25,4
92,93,0
58,60,1
116,34,3
96,73,1
48,53,1
99,112,0
14,46,2
130,115,0
130,12,3
96,52,3
82,141,0
108,34,3
71,92,0
103,73,3
57,38,1
98,148,0
131,5,3
57,94,0
37,0,4
15,86,2
52,114,0
47,66,1
8,27,2
29,136,0
37,123,0
37,117,0
112,143,0
0,32,2
85,103,0
103,142,0
141,50,3
139,119,0
55,44,1
61,90,0
44,76,1
25,96,0
39,71,1
10,45,2
96,39,3
30,133,0
9,68,2
99,121,0
58,97,0
0,143,0
48,103,0
135,38,3
2,121,0
5,55,2
14,66,2
146,57,3
142,18,3
0,28,2
89,8,4
74,32,4
45,102,0
14,55,2
19,111,0
25,76,2
58,26,4
68,106,0
129,50,3
142,130,0
21,145,0
34,33,1
60,27,4
88,49,1
46,89,0
78,133,0
97,150,0
15,143,0
101,27,3
47,119,0
137,72,3
44,44,1
96,112,0
148,75,3
10,137,0
54,31,1
132,86,3
62,41,1
112,0,3
91,7,4
89,16,4
138,33,3
15,0,4
25,114,0
26,70,2
82,12,4
141,126,0
54,86,1
86,51,1
10,96,2
37,62,1
125,18,3
147,36,3
60,108,0
34,149,0
113,121,0
14,100,0
4,27,2
99,27,3
141,125,0
96,71,3
135,86,3
46,38,1
21,130,0
89,30,4
73,124,0
90,45,3
141,86,3
80,48,1
43,114,0
46,5,4
85,58,1
104,87,0
85,50,1
114,73,3
22,59,2
144,6,3
143,38,3
44,14,4
15,131,0
42,89,2
102,132,0
134,92,3
68,63,1
140,109,3
25,33,1
115,110,0
91,66,1
46,23,4
116,7,3
97,138,0
65,90,0
144,57,3
126,35,3
69,142,0
13,111,0
80,113,0
91,61,1
55,8,4
123,42,3
117,148,0
76,79,1
105,16,3
145,149,0
38,110,0
5,135,0
95,68,3
72,86,0
124,46,3
121,42,3
37,132,0
1,115,0
95,92,0
25,148,0
100,146,0
37,64,1
143,113,3
142,95,3
128,136,0
93,15,4
94,97,0
148,36,3
14,67,2
123,138,0
113,93,3
28,150,0
73,29,4
112,15,3
119,136,0
10,66,2
131,47,3
130,122,0
10,121,0
66,136,0
105,9,3
149,46,3
106,146,0
82,118,0
60,54,1
106,23,3
146,132,0
20,66,2
8,133,0
81,127,0
118,91,3
42,96,0
136,19,3
67,144,0
141,134,0
129,93,3
143,127,0
137,98,3
120,68,3
65,28,4
121,18,3
49,114,0
148,69,3
29,5,4
49,110,0
132,14,3
48,23,4
111,31,3
43,27,1
25,31,1
10,3,4
122,0,3
129,108,3
96,96,0
23,9,4
122,144,0
27,20,1
107,23,3
88,134,0
28,137,0
91,8,4
150,139,0
29,110,0
20,70,2
135,43,3
101,144,0
44,70,1
144,22,3
25,90,2
117,49,3
99,88,0
40,124,0
107,146,0
145,44,3
129,23,3
28,70,2
29,27,1
56,58,1
135,74,3
129,120,0
117,77,3
111,11,3
146,102,3
31,20,4
41,146,0
69,138,0
84,110,0
110,40,3
103,102,0
82,81,1
123,110,0
149,1,3
138,55,3
60,122,0
127,36,3
89,94,0
113,49,3
103,108,0
1,134,0
127,40,3
130,45,3
26,61,2
2,134,0
99,105,0
85,30,4
34,58,1
140,32,3
57,125,0
85,117,0
95,62,3
0,33,2
3,112,0
81,106,0
67,80,1
87,43,1
118,64,3
89,144,0
123,89,3
125,71,3
42,58,1
99,74,3
114,87,3
104,20,3
61,39,1
136,5,3
99,136,0
37,102,0
97,118,0
55,14,4
47,140,0
57,14,4
54,144,0
6,26,2
81,129,0
96,123,0
36,44,1
44,150,0
129,148,0
20,40,2
34,3,4
43,133,0
139,80,3
82,86,0
45,135,0
98,92,0
125,4,3
105,28,3
147,109,3
52,77,1
87,148,0
47,122,0
40,91,0
119,18,3
88,139,0
56,123,0
140,98,3
103,129,0
27,35,1
62,73,1
19,9,4
12,142,0
11,115,0
19,7,4
73,70,1
82,8,4
67,129,0
130,105,3
67,98,0
122,5,3
85,25,4
126,74,3
123,76,3
50,0,4
109,112,0
71,127,0
121,83,3
118,133,0
46,136,0
138,119,0
55,70,1
125,120,0
48,102,0
75,116,0
50,44,1
119,133,0
69,92,0
54,40,1
17,105,0
38,125,0
66,109,0
101,35,3
39,68,1
17,83,2
53,4,4
52,108,0
74,24,4
78,121,0
127,0,3
84,24,4
42,52,1
6,109,0
142,58,3
149,6,3
12,36,2
131,77,3
143,81,3
112,30,3
150,129,0
113,50,3
131,12,3
8,53,2
37,84,2
23,11,4
82,107,0
35,124,0
6,41,2
82,146,0
99,79,3
1,110,0
113,133,0
36,104,0
63,148,0
132,60,3
124,92,3
111,104,0
105,117,0
4,140,0
50,27,4
149,132,0
132,33,3
103,136,0
72,34,4
131,18,3
111,133,0
128,74,3
113,11,3
27,25,1
8,8,4
86,130,0
100,44,3
84,52,1
10,86,2
39,60,1
114,37,3
39,93,0
70,142,0
77,140,-1
23,57,-1
